model,horizon,decile,n,predicted_persistence,observed_persistence,population
M_base,365,6,2443,0.50951161969891123,0.6582071223905035,mature_2024
M_base,365,7,2443,0.52033792080427743,0.6627097830536226,mature_2024
M_base,365,8,2443,0.53239691334173445,0.65902578796561606,mature_2024
M_base,365,9,2443,0.54930768439550226,0.68031109291854275,mature_2024
M_base,365,10,2443,0.57981147634145169,0.67580843225542364,mature_2024
M_any,365,1,2445,0.38025646501730781,0.49652351738241307,mature_2024
M_any,365,2,2446,0.43258425628567498,0.52125919869174164,mature_2024
M_any,365,3,2439,0.49304183534825591,0.62197621976219764,mature_2024
M_any,365,4,2449,0.51898471356823273,0.63781135157207025,mature_2024
M_any,365,5,2566,0.532043099969569,0.63561964146531569,mature_2024
M_any,365,6,2315,0.54633400220506068,0.66738660907127434,mature_2024
M_any,365,7,2442,0.56125474282641841,0.68509418509418507,mature_2024
M_any,365,8,2443,0.57447600384003128,0.69136307818256237,mature_2024
M_any,365,9,2454,0.59192968912469202,0.70415647921760394,mature_2024
M_any,365,10,2432,0.62780960878755654,0.71340460526315785,mature_2024
M_count,365,1,2444,0.37418841238967593,0.49222585924713586,mature_2024
M_count,365,2,2443,0.43529280710797202,0.52312730249692996,mature_2024
M_count,365,3,2445,0.49466205492117182,0.62004089979550103,mature_2024
M_count,365,4,2441,0.51958063480459216,0.64195002048340843,mature_2024
M_count,365,5,2515,0.53262351661493557,0.63936381709741552,mature_2024
M_count,365,6,2371,0.54732728721352619,0.66638549135385916,mature_2024
M_count,365,7,2447,0.56245824190910543,0.68369431957498983,mature_2024
M_count,365,8,2439,0.57606487889131874,0.68634686346863472,mature_2024
M_count,365,9,2443,0.59383364462423838,0.71142038477282032,mature_2024
M_count,365,10,2443,0.63097501066367612,0.70896438804748263,mature_2024
M_history,365,1,2444,0.32637284167848657,0.43453355155482815,mature_2024
M_history,365,2,2443,0.46483189132932479,0.57429390094146537,mature_2024
M_history,365,3,2443,0.51145853611012804,0.63200982398690131,mature_2024
M_history,365,4,2447,0.52539585515296638,0.62811606048222313,mature_2024
M_history,365,5,2444,0.53810903992477899,0.65343698854337151,mature_2024
M_history,365,6,2484,0.55171253027908762,0.64975845410628019,mature_2024
M_history,365,7,2397,0.56503892828574231,0.69128076762619939,mature_2024
M_history,365,8,2443,0.5779027675029631,0.697912402783463,mature_2024
M_history,365,9,2443,0.59547494941535983,0.7073270568972575,mature_2024
M_history,365,10,2443,0.63438102652228512,0.70487106017191981,mature_2024
